"CNET LANNION  [LAN ]",
48.7347,-3.453,
,10,
"WINCHESTER CRA[WIN ]",
51.063,-1.46,
,10,
10710
0,25.952,48.7347,-3.453,3
0.052458,23.1918,48.735116,-3.45266295,3
0.10491,26.2108,48.735532,-3.45232589,3
0.15737,29.4559,48.735948,-3.45198884,3
0.20983,36.4987,48.736364,-3.45165178,3
0.26228,42.4291,48.73678,-3.45131473,3
0.31473,47.6751,48.737197,-3.45097768,3
0.36719,51.3375,48.737613,-3.45064062,3
0.41964,50.4961,48.738029,-3.45030357,3
0.47209,49.4254,48.738445,-3.44996651,3
0.52454,47.024,48.738861,-3.44962946,3
0.57699,44.7746,48.739277,-3.44929241,3
0.62944,42.412,48.739693,-3.44895535,3
0.68188,40.7285,48.740109,-3.4486183,3
0.73433,39.9143,48.740525,-3.44828124,3
0.78678,39.8595,48.740941,-3.44794419,3
0.83922,40.4655,48.741357,-3.44760714,3
0.89166,40.83,48.741773,-3.44727008,3
0.94411,41.5186,48.742189,-3.44693303,3
0.99655,42.8897,48.742605,-3.44659597,3
1.049,46.6788,48.743021,-3.44625892,3
1.1014,50.5394,48.743437,-3.44592187,3
1.1539,54.1221,48.743852,-3.44558481,3
1.2063,57.1081,48.744268,-3.44524776,3
1.2587,58.4952,48.744684,-3.44491071,3
1.3112,61.0366,48.7451,-3.44457365,3
1.3636,64.5426,48.745516,-3.4442366,3
1.4161,68.1192,48.745932,-3.44389954,3
1.4685,71.8174,48.746348,-3.44356249,3
1.5209,74.721,48.746764,-3.44322544,3
1.5734,76.7097,48.74718,-3.44288838,3
1.6258,77.7692,48.747596,-3.44255133,3
1.6782,78.2824,48.748011,-3.44221427,3
1.7306,79.4118,48.748427,-3.44187722,3
1.7831,80.8225,48.748843,-3.44154017,3
1.8355,81.5563,48.749259,-3.44120311,3
1.8879,81.9607,48.749675,-3.44086606,3
1.9404,82.6518,48.750091,-3.440529,3
1.9928,84.1252,48.750506,-3.44019195,3
2.0452,85.1949,48.750922,-3.4398549,3
2.0976,85.8609,48.751338,-3.43951784,3
2.1501,86.228,48.751754,-3.43918079,3
2.2025,86.5857,48.75217,-3.43884373,3
2.2549,86.5612,48.752585,-3.43850668,3
2.3073,86.6413,48.753001,-3.43816963,3
2.3597,87.8214,48.753417,-3.43783257,3
2.4122,88.5906,48.753833,-3.43749552,3
2.4646,88.4168,48.754248,-3.43715846,3
2.517,89.0516,48.754664,-3.43682141,3
2.5694,90.2816,48.75508,-3.43648436,3
2.6218,92.7212,48.755496,-3.4361473,3
2.6742,95.3969,48.755911,-3.43581025,3
2.7267,97.2899,48.756327,-3.43547319,3
2.7791,98.2547,48.756743,-3.43513614,3
2.8315,98.2936,48.757158,-3.43479909,3
2.8839,98.8796,48.757574,-3.43446203,3
2.9363,98.5711,48.75799,-3.43412498,3
2.9887,99.9517,48.758405,-3.43378792,3
3.0411,102.1037,48.758821,-3.43345087,3
3.0935,103.0666,48.759237,-3.43311382,3
3.1459,101.6172,48.759652,-3.43277676,3
3.1983,100.8486,48.760068,-3.43243971,3
3.2507,100.3927,48.760484,-3.43210266,3
3.3031,100.6137,48.760899,-3.4317656,3
3.3556,100.2062,48.761315,-3.43142855,3
3.408,98.8469,48.76173,-3.43109149,3
3.4604,97.7003,48.762146,-3.43075444,3
3.5128,95.7796,48.762562,-3.43041739,3
3.5652,93.937,48.762977,-3.43008033,3
3.6176,92.6645,48.763393,-3.42974328,3
3.67,92.5298,48.763808,-3.42940622,3
3.7223,92.4992,48.764224,-3.42906917,3
3.7747,89.9835,48.764639,-3.42873212,3
3.8271,88.0081,48.765055,-3.42839506,3
3.8795,87.2915,48.765471,-3.42805801,3
3.9319,86.8735,48.765886,-3.42772095,3
3.9843,85.9545,48.766302,-3.4273839,3
4.0367,85.4833,48.766717,-3.42704685,3
4.0891,85.3891,48.767133,-3.42670979,3
4.1415,86.1328,48.767548,-3.42637274,3
4.1939,87.5417,48.767964,-3.42603568,3
4.2463,87.6827,48.768379,-3.42569863,3
4.2987,86.087,48.768795,-3.42536158,3
4.351,84.9465,48.76921,-3.42502452,3
4.4034,84.1123,48.769625,-3.42468747,3
4.4558,83.7765,48.770041,-3.42435041,3
4.5082,81.0125,48.770456,-3.42401336,3
4.5606,78.9268,48.770872,-3.42367631,3
4.613,77.9147,48.771287,-3.42333925,3
4.6653,76.9139,48.771703,-3.4230022,3
4.7177,75.9169,48.772118,-3.42266514,3
4.7701,75.1118,48.772533,-3.42232809,3
4.8225,76.2866,48.772949,-3.42199104,3
4.8749,77.0793,48.773364,-3.42165398,3
4.9272,77.3175,48.77378,-3.42131693,3
4.9796,76.6238,48.774195,-3.42097987,3
5.032,74.8433,48.77461,-3.42064282,3
5.0844,74.6556,48.775026,-3.42030577,3
5.1367,75.0199,48.775441,-3.41996871,3
5.1891,75.442,48.775856,-3.41963166,3
5.2415,75.8465,48.776272,-3.41929461,3
5.2939,75.9879,48.776687,-3.41895755,3
5.3462,76.1624,48.777102,-3.4186205,3
5.3986,77.1554,48.777518,-3.41828344,3
