0.000	40.000	A1
1.000	24.000	A1
2.000	35.000	A1
3.000	38.000	A1
4.000	41.000	A1
5.000	39.000	A1
6.000	41.000	A1
7.000	41.000	A1
8.000	44.000	A1
9.000	35.000	A1
10.000	39.000	A1
11.000	24.000	A1
12.000	26.000	A1
13.000	32.000	A1
14.000	36.000	A1
15.000	43.000	A1
16.000	49.000	A1
17.000	48.000	A1
18.000	48.000	A1
19.000	45.000	A1
20.000	41.000	A1
21.000	35.000	A1
22.000	36.000	A1
23.000	36.000	A1
24.000	42.000	A1
25.000	43.000	A1
26.000	52.000	A1
27.000	55.000	A1
28.000	73.000	A1
29.000	67.000	A1
30.000	68.000	A1
31.000	53.000	A1
32.000	50.000	A1
33.000	14.000	A1
34.000	1.000	A1
35.000	0.000	B
36.000	0.000	B
37.000	0.000	B
38.000	0.000	B
39.000	0.000	B
40.000	0.000	B
41.000	0.000	B
42.000	0.000	B
43.000	0.000	B
44.000	0.000	B
45.000	0.000	B
46.000	0.000	B
47.000	0.000	B
48.000	0.000	B
49.000	0.000	B
50.000	0.000	B
51.000	0.000	B
52.000	0.000	B
53.000	0.000	B
54.000	0.000	B
55.000	0.000	B
56.000	0.000	B
57.000	0.000	B
58.000	0.000	B
59.000	0.000	B
60.000	0.000	B
61.000	0.000	B
62.000	0.000	B
63.000	0.000	B
64.000	0.000	B
65.000	0.000	B
66.000	0.000	B
67.000	0.000	B
68.000	0.000	B
69.000	0.000	B
70.000	0.000	B
71.000	0.000	B
72.000	0.000	B
73.000	0.000	B
74.000	0.000	B
75.000	0.000	B
76.000	0.000	B
77.000	0.000	B
78.000	45.000	A1
79.000	54.000	A1
80.000	63.000	A1
81.000	79.000	A1
82.000	85.000	A1
83.000	39.000	A1
84.000	21.000	A1
85.000	15.000	A1
86.000	37.000	A1
87.000	42.000	A1
88.000	63.000	A1
89.000	51.000	A1
90.000	35.000	A1
91.000	68.000	A1
92.000	68.000	A1
93.000	53.000	A1
94.000	63.000	A1
95.000	75.000	A1
96.000	92.000	A1
97.000	174.000	A2
98.000	184.000	A2
99.000	145.000	A2
100.000	158.000	A2
101.000	122.000	A2
102.000	129.000	A2
103.000	97.000	A1
104.000	100.000	A2
105.000	91.000	A1
106.000	144.000	A2
107.000	119.000	A2
108.000	154.000	A2
109.000	183.000	A2
