0	697
0.05	697
0.1	697
0.15	690
0.2	690
0.25	665
0.3	665
0.35	661
0.4	653
0.45	656
0.5	644
0.55	644
0.6	638
0.65	629
0.7	620
0.75	620
0.8	610
0.85	610
0.9	608
0.95	608
1	610
1.05	610
1.1	609
1.15	609
1.2	611
1.25	611
1.3	604
1.35	604
1.4	604
1.45	607
1.5	607
1.55	609
1.6	609
1.65	611
1.7	606
1.75	606
1.8	606
1.85	602
1.9	602
1.95	602
2	602
2.05	604
2.1	603
2.15	606
2.2	606
2.25	603
2.3	603
2.35	605
2.4	607
2.45	607
2.5	605
2.55	605
2.6	605
2.65	605
2.7	600
2.75	601
2.8	594
2.85	594
2.9	589
2.95	589
3	595
3.05	589
3.1	589
3.15	586
3.2	586
3.25	582
3.3	584
3.35	581
3.4	579
3.45	575
3.5	575
3.55	577
3.6	577
3.65	585
3.7	587
3.75	586
3.8	596
3.85	596
3.9	587
3.95	589
4	593
4.05	593
4.1	589
4.15	589
4.2	593
4.25	593
4.3	590
4.35	600
4.4	592
4.45	601
4.5	605
4.55	605
4.6	601
4.65	609
4.7	609
4.75	618
4.8	618
4.85	613
4.9	613
4.95	612
5	615
5.05	612
5.1	612
5.15	618
5.2	618
5.25	616
5.3	616
5.35	612
5.4	613
5.45	613
5.5	613
5.55	613
5.6	613
5.65	612
5.7	609
5.75	609
5.8	606
5.85	606
5.9	604
5.95	604
6	602
6.05	602
6.1	602
6.15	602
6.2	603
6.25	603
6.3	604
6.35	601
6.4	601
6.45	602
6.5	602
6.55	607
6.6	603
6.65	605
6.7	606
6.75	610
6.8	610
6.85	610
6.9	610
6.95	611
7	611
7.05	611
7.1	616
7.15	616
7.2	618
7.25	618
7.3	622
7.35	621
7.4	625
7.45	625
7.5	635
7.55	635
7.6	631
7.65	638
7.7	638
7.75	621
7.8	620
7.85	620
7.9	616
7.95	611
8	611
8.05	594
8.1	594
8.15	589
8.2	589
8.25	586
8.3	582
8.35	579
8.4	578
8.45	579
8.5	579
8.55	576
8.6	576
8.65	574
8.7	577
8.75	577
8.8	575
8.85	575
8.9	571
8.95	572
9	572
9.05	572
9.1	571
9.15	571
9.2	575
9.25	575
9.3	573
9.35	571
9.4	569
9.45	570
9.5	570
9.55	570
9.6	570
9.65	575
9.7	575
9.75	576
9.8	576
9.85	577
9.9	577
9.95	578
10	574
10.05	574
10.1	574
10.15	575
10.2	575
10.25	577
10.3	577
10.35	577
10.4	579
10.45	579
10.5	579
10.55	583
10.6	583
10.65	586
10.7	583
10.75	583
10.8	584
10.85	584
10.9	586
10.95	586
11	587
11.05	594
11.1	599
11.15	599
11.2	588
11.25	591
11.3	590
11.35	592
11.4	592
11.45	594
11.5	594
11.55	596
11.6	597
11.65	602
11.7	599
11.75	605
11.8	605
11.85	605
11.9	605
11.95	610
12	607
12.05	607
12.1	615
12.15	615
12.2	621
12.25	621
12.3	624
12.35	621
12.4	633
12.45	633
12.5	632
12.55	632
12.6	636
12.65	630
12.7	639
12.75	630
12.8	630
12.85	634
12.9	628
12.95	632
13	632
13.05	628
13.1	628
13.15	625
13.2	625
13.25	626
13.3	621
13.35	624
13.4	624
13.45	620
13.5	620
13.55	620
13.6	620
13.65	620
13.7	616
13.75	616
13.8	610
13.85	610
13.9	605
13.95	607
14	604
14.05	604
14.1	603
14.15	603
14.2	594
14.25	594
14.3	594
14.35	596
14.4	592
14.45	592
14.5	587
14.55	586
14.6	585
14.65	583
14.7	583
14.75	579
14.8	579
14.85	571
14.9	573
14.95	575
15	576
15.05	572
15.1	572
15.15	573
15.2	573
15.25	569
15.3	569
15.35	569
15.4	568
15.45	568
15.5	566
15.55	568
15.6	568
15.65	564
15.7	563
15.75	563
15.8	559
15.85	559
15.9	564
15.95	567
16	564
16.05	563
16.1	562
16.15	562
16.2	561
16.25	563
16.3	563
16.35	561
16.4	561
16.45	562
16.5	562
16.55	561
16.6	563
16.65	564
16.7	564
16.75	563
16.8	563
16.85	565
16.9	565
16.95	564
17	566
17.05	566
17.1	568
17.15	568
17.2	569
17.25	567
17.3	570
17.35	570
17.39688966	569
