0.0000000000E+00	827.00	 2
3.4952738212E-02	827.00	 2
6.9905476424E-02	827.00	 2
1.0485821464E-01	827.00	 2
1.3981095285E-01	823.00	 2
1.7476369106E-01	821.00	 2
2.0971642927E-01	817.00	 2
2.4466916748E-01	813.00	 2
2.7962190569E-01	809.00	 2
3.1457464391E-01	807.00	 2
3.4952738212E-01	808.00	 2
3.8448012033E-01	810.00	 2
4.1943285854E-01	812.00	 2
4.5438559675E-01	816.00	 2
4.8933833496E-01	820.00	 2
5.2429107318E-01	822.00	 2
5.5924381139E-01	825.00	 2
5.9419654960E-01	827.00	 2
6.2914928781E-01	828.00	 2
6.6410202602E-01	829.00	 2
6.9905476423E-01	829.00	 2
7.3400750245E-01	828.00	 2
7.6896024066E-01	827.00	 2
8.0391297887E-01	827.00	 2
8.3886571708E-01	826.00	 2
8.7381845529E-01	825.00	 2
9.0877119351E-01	825.00	 2
9.4372393172E-01	824.00	 2
9.7867666993E-01	822.00	 2
1.0136294081E+00	821.00	 2
1.0485821464E+00	818.00	 2
1.0835348846E+00	815.00	 2
1.1184876228E+00	814.00	 2
1.1534403610E+00	814.00	 2
1.1883930992E+00	815.00	 2
1.2233458374E+00	816.00	 2
1.2582985756E+00	820.00	 2
1.2932513138E+00	825.00	 2
1.3282040520E+00	825.00	 2
1.3631567903E+00	827.00	 2
1.3981095285E+00	829.00	 2
1.4330622667E+00	830.00	 2
1.4680150049E+00	830.00	 2
1.5029677431E+00	830.00	 2
1.5379204813E+00	830.00	 2
1.5728732195E+00	830.00	 2
1.6078259577E+00	832.00	 2
1.6427786960E+00	833.00	 2
1.6777314342E+00	833.00	 2
1.7126841724E+00	833.00	 2
1.7476369106E+00	832.00	 2
1.7825896488E+00	832.00	 2
1.8175423870E+00	832.00	 2
1.8524951252E+00	831.00	 2
1.8874478634E+00	830.00	 2
1.9224006016E+00	829.00	 2
1.9573533399E+00	828.00	 2
1.9923060781E+00	826.00	 2
2.0272588163E+00	824.00	 2
2.0622115545E+00	822.00	 2
2.0971642927E+00	821.00	 2
2.1321170309E+00	820.00	 2
2.1670697691E+00	821.00	 2
2.2020225073E+00	822.00	 2
2.2369752456E+00	824.00	 2
2.2719279838E+00	824.00	 2
2.3068807220E+00	822.00	 2
2.3418334602E+00	821.00	 2
2.3767861984E+00	821.00	 2
2.4117389366E+00	820.00	 2
2.4466916748E+00	816.00	 2
2.4816444130E+00	812.00	 2
2.5165971512E+00	809.00	 2
2.5515498895E+00	806.00	 2
2.5865026277E+00	807.00	 2
2.6214553659E+00	805.00	 2
2.6564081041E+00	803.00	 2
2.6913608423E+00	801.00	 2
2.7263135805E+00	804.00	 2
2.7612663187E+00	805.00	 2
2.7962190569E+00	807.00	 2
2.8311717952E+00	810.00	 2
2.8661245334E+00	812.00	 2
2.9010772716E+00	813.00	 2
2.9360300098E+00	812.00	 2
2.9709827480E+00	812.00	 2
3.0059354862E+00	813.00	 2
3.0408882244E+00	815.00	 2
3.0758409626E+00	815.00	 2
3.1107937008E+00	818.00	 2
3.1457464391E+00	817.00	 2
3.1806991773E+00	814.00	 2
3.2156519155E+00	810.00	 2
3.2506046537E+00	809.00	 2
3.2855573919E+00	810.00	 2
3.3205101301E+00	814.00	 2
3.3554628683E+00	813.00	 2
3.3904156065E+00	811.00	 2
3.4253683448E+00	810.00	 2
3.4603210830E+00	811.00	 2
3.4952738212E+00	811.00	 2
3.5302265594E+00	812.00	 2
3.5651792976E+00	813.00	 2
3.6001320358E+00	813.00	 2
3.6350847740E+00	813.00	 2
3.6700375122E+00	815.00	 2
3.7049902504E+00	819.00	 2
3.7399429887E+00	821.00	 2
3.7748957269E+00	824.00	 2
3.8098484651E+00	827.00	 2
3.8448012033E+00	831.00	 2
3.8797539415E+00	833.00	 2
3.9147066797E+00	833.00	 2
3.9496594179E+00	833.00	 2
3.9846121561E+00	835.00	 2
4.0195648944E+00	835.00	 2
4.0545176326E+00	834.00	 2
4.0894703708E+00	834.00	 2
4.1244231090E+00	833.00	 2
4.1593758472E+00	831.00	 2
4.1943285854E+00	830.00	 2
4.2292813236E+00	829.00	 2
4.2642340618E+00	828.00	 2
4.2991868000E+00	828.00	 2
4.3341395383E+00	827.00	 2
4.3690922765E+00	825.00	 2
4.4040450147E+00	823.00	 2
4.4389977529E+00	822.00	 2
4.4739504911E+00	822.00	 2
4.5089032293E+00	821.00	 2
4.5438559675E+00	821.00	 2
4.5788087057E+00	822.00	 2
4.6137614439E+00	822.00	 2
4.6487141822E+00	821.00	 2
4.6836669204E+00	820.00	 2
4.7186196586E+00	816.00	 2
4.7535723968E+00	812.00	 2
4.7885251350E+00	808.00	 2
4.8234778732E+00	806.00	 2
4.8584306114E+00	807.00	 2
4.8933833496E+00	810.00	 2
4.9283360879E+00	814.00	 2
4.9632888261E+00	817.00	 2
4.9982415643E+00	817.00	 2
5.0331943025E+00	820.00	 2
5.0681470407E+00	822.00	 2
5.1030997789E+00	823.00	 2
5.1380525171E+00	823.00	 2
5.1730052553E+00	824.00	 2
5.2079579935E+00	826.00	 2
5.2429107318E+00	828.00	 2
5.2778634700E+00	829.00	 2
5.3128162082E+00	829.00	 2
5.3477689464E+00	830.00	 2
5.3827216846E+00	829.00	 2
5.4176744228E+00	827.00	 2
5.4526271610E+00	827.00	 2
5.4875798992E+00	829.00	 2
5.5225326375E+00	829.00	 2
5.5574853757E+00	830.00	 2
5.5924381139E+00	830.00	 2
5.6273908521E+00	829.00	 2
5.6623435903E+00	828.00	 2
5.6972963285E+00	827.00	 2
